SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey
43.718,-98.564,43.73,-98.58,2017,43.718:-98.564,43.730:-98.580
44.414,-98.279,44.41,-98.26,2017,44.414:-98.279,44.410:-98.260
43.193,-101.669,43.21,-101.66,2017,43.193:-101.669,43.210:-101.660
42.966,-97.899,42.97,-97.9,2017,42.966:-97.899,42.970:-97.900
44.37,-96.791,44.37,-96.78,2017,44.370:-96.791,44.370:-96.780
45.589,-98.352,45.57,-98.34,2017,45.589:-98.352,45.570:-98.340
44.892,-103.508,44.89,-103.5,2017,44.892:-103.508,44.890:-103.500
45.768,-100.115,45.77,-100.1,2017,45.768:-100.115,45.770:-100.100
43.168,-98.69,43.17,-98.7,2017,43.168:-98.690,43.170:-98.700
44.849,-97.737,44.85,-97.74,2017,44.849:-97.737,44.850:-97.740
42.893,-96.983,42.89,-96.98,2017,42.893:-96.983,42.890:-96.980
44.978,-97.188,44.97,-97.18,2017,44.978:-97.188,44.970:-97.180
45.708,-101.15,45.69,-101.14,2017,45.708:-101.150,45.690:-101.140
43.675,-98.145,43.69,-98.14,2017,43.675:-98.145,43.690:-98.140
45.37,-97.604,45.37,-97.62,2017,45.370:-97.604,45.370:-97.620
44.76,-96.668,44.77,-96.66,2017,44.760:-96.668,44.770:-96.660
45.1,-100.879,45.09,-100.86,2017,45.100:-100.879,45.090:-100.860
43.348,-98.408,43.33,-98.42,2017,43.348:-98.408,43.330:-98.420
45.419,-99.216,45.41,-99.22,2017,45.419:-99.216,45.410:-99.220
43.24,-103.528,43.25,-103.54,2017,43.240:-103.528,43.250:-103.540
45.071,-99.145,45.09,-99.14,2017,45.071:-99.145,45.090:-99.140
45.151,-96.839,45.17,-96.82,2017,45.151:-96.839,45.170:-96.820
43.249,-99.016,43.25,-99.02,2017,43.249:-99.016,43.250:-99.020
44.373,-101.527,44.37,-101.54,2017,44.373:-101.527,44.370:-101.540
44.674,-97.188,44.69,-97.18,2017,44.674:-97.188,44.690:-97.180
44.546,-99.007,44.53,-99.02,2017,44.546:-99.007,44.530:-99.020
45.579,-103.494,45.57,-103.5,2017,45.579:-103.494,45.570:-103.500
44.323,-100.09,44.33,-100.1,2017,44.323:-100.090,44.330:-100.100
44.545,-99.488,44.53,-99.5,2017,44.545:-99.488,44.530:-99.500
44.066,-98.629,44.05,-98.62,2017,44.066:-98.629,44.050:-98.620
43.94,-100.701,43.93,-100.7,2017,43.940:-100.701,43.930:-100.700
44.37,-97.491,44.37,-97.5,2017,44.370:-97.491,44.370:-97.500
44.022,-97.129,44.01,-97.14,2017,44.022:-97.129,44.010:-97.140
44.373,-103.754,44.37,-103.74,2017,44.373:-103.754,44.370:-103.740
43.292,-96.681,43.29,-96.7,2017,43.292:-96.681,43.290:-96.700
43.859,-99.824,43.85,-99.82,2017,43.859:-99.824,43.850:-99.820
43.674,-97.369,43.69,-97.38,2017,43.674:-97.369,43.690:-97.380
45.766,-99.221,45.77,-99.22,2017,45.766:-99.221,45.770:-99.220
45.747,-97.603,45.73,-97.62,2017,45.747:-97.603,45.730:-97.620
43.623,-100.722,43.61,-100.74,2017,43.623:-100.722,43.610:-100.740
44.022,-97.61,44.01,-97.62,2017,44.022:-97.610,44.010:-97.620
43.675,-96.791,43.69,-96.78,2017,43.675:-96.791,43.690:-96.780
44.022,-96.671,44.01,-96.66,2017,44.022:-96.671,44.010:-96.660
45.492,-102.479,45.49,-102.46,2017,45.492:-102.479,45.490:-102.460
45.072,-99.998,45.09,-99.98,2017,45.072:-99.998,45.090:-99.980
45.616,-96.849,45.61,-96.86,2017,45.616:-96.849,45.610:-96.860
44.023,-98.091,44.01,-98.1,2017,44.023:-98.091,44.010:-98.100
44.938,-98.347,44.93,-98.34,2017,44.938:-98.347,44.930:-98.340
44.476,-100.529,44.49,-100.54,2017,44.476:-100.529,44.490:-100.540
44.723,-100.202,44.73,-100.22,2017,44.723:-100.202,44.730:-100.220
43.194,-100.713,43.21,-100.7,2017,43.194:-100.713,43.210:-100.700
43.382,-99.882,43.37,-99.9,2017,43.382:-99.882,43.370:-99.900
43.292,-97.163,43.29,-97.18,2017,43.292:-97.163,43.290:-97.180
42.782,-96.625,42.77,-96.62,2017,42.782:-96.625,42.770:-96.620
45.42,-100.097,45.41,-100.1,2017,45.420:-100.097,45.410:-100.100
42.985,-97.399,42.97,-97.38,2017,42.985:-97.399,42.970:-97.380
44.992,-101.569,45.01,-101.58,2017,44.992:-101.569,45.010:-101.580
44.373,-102.937,44.37,-102.94,2017,44.373:-102.937,44.370:-102.940
44.733,-102.482,44.73,-102.5,2017,44.733:-102.482,44.730:-102.500
43.509,-97.757,43.49,-97.74,2017,43.509:-97.757,43.490:-97.740
43.848,-99.186,43.85,-99.18,2017,43.848:-99.186,43.850:-99.180
43.994,-102.678,44.01,-102.66,2017,43.994:-102.678,44.010:-102.660
43.809,-103.636,43.81,-103.62,2017,43.809:-103.636,43.810:-103.620
43.593,-101.684,43.61,-101.7,2017,43.593:-101.684,43.610:-101.700
43.84,-101.542,43.85,-101.54,2017,43.840:-101.542,43.850:-101.540
43.7,-102.394,43.69,-102.38,2017,43.700:-102.394,43.690:-102.380
43.353,-102.541,43.37,-102.54,2017,43.353:-102.541,43.370:-102.540
36.106,-84.196,36.09,-84.18,2017,36.106:-84.196,36.090:-84.180
35.511,-86.45,35.53,-86.46,2017,35.511:-86.450,35.530:-86.460
36.086,-88.07,36.09,-88.06,2017,36.086:-88.070,36.090:-88.060
35.564,-85.171,35.57,-85.18,2017,35.564:-85.171,35.570:-85.180
35.173,-84.862,35.17,-84.86,2017,35.173:-84.862,35.170:-84.860
36.385,-84.138,36.37,-84.14,2017,36.385:-84.138,36.370:-84.140
35.809,-86.045,35.81,-86.06,2017,35.809:-86.045,35.810:-86.060
35.97,-88.442,35.97,-88.46,2017,35.970:-88.442,35.970:-88.460
36.307,-82.138,36.29,-82.14,2017,36.307:-82.138,36.290:-82.140
36.249,-87.096,36.25,-87.1,2017,36.249:-87.096,36.250:-87.100
35.42,-88.597,35.41,-88.58,2017,35.420:-88.597,35.410:-88.580
36.466,-83.689,36.45,-83.7,2017,36.466:-83.689,36.450:-83.700
36.515,-85.541,36.53,-85.54,2017,36.515:-85.541,36.530:-85.540
35.497,-86.074,35.49,-86.06,2017,35.497:-86.074,35.490:-86.060
35.836,-89.127,35.85,-89.14,2017,35.836:-89.127,35.850:-89.140
35.958,-84.977,35.97,-84.98,2017,35.958:-84.977,35.970:-84.980
36.187,-86.785,36.17,-86.78,2017,36.187:-86.785,36.170:-86.780
35.615,-88.109,35.61,-88.1,2017,35.615:-88.109,35.610:-88.100
35.979,-85.847,35.97,-85.86,2017,35.979:-85.847,35.970:-85.860
36.147,-87.353,36.13,-87.34,2017,36.147:-87.353,36.130:-87.340
36.047,-89.445,36.05,-89.46,2017,36.047:-89.445,36.050:-89.460
35.199,-89.414,35.21,-89.42,2017,35.199:-89.414,35.210:-89.420
35.176,-86.103,35.17,-86.1,2017,35.176:-86.103,35.170:-86.100
36.007,-88.949,36.01,-88.94,2017,36.007:-88.949,36.010:-88.940
35.223,-87.03,35.21,-87.02,2017,35.223:-87.030,35.210:-87.020
36.251,-83.494,36.25,-83.5,2017,36.251:-83.494,36.250:-83.500
36.171,-82.875,36.17,-82.86,2017,36.171:-82.875,36.170:-82.860
35.375,-85.7,35.37,-85.7,2017,35.375:-85.700,35.370:-85.700
36.213,-83.275,36.21,-83.26,2017,36.213:-83.275,36.210:-83.260
35.221,-85.209,35.21,-85.22,2017,35.221:-85.209,35.210:-85.220
35.213,-88.989,35.21,-88.98,2017,35.213:-88.989,35.210:-88.980
35.209,-88.181,35.21,-88.18,2017,35.209:-88.181,35.210:-88.180
35.61,-89.286,35.61,-89.3,2017,35.610:-89.286,35.610:-89.300
35.621,-88.394,35.61,-88.38,2017,35.621:-88.394,35.610:-88.380
36.311,-88.26,36.33,-88.26,2017,36.311:-88.260,36.330:-88.260
