SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey,lkey
41.123999999999995,-83.125,41.13,-83.14,2017,41.124:-83.125,-83.125:41.130,11571
40.334,-84.21799999999999,40.33,-84.22,2017,40.334:-84.218,-84.218:40.330,11572
40.812,-81.368,40.81,-81.38,2017,40.812:-81.368,-81.368:40.810,12368
41.129,-81.54,41.13,-81.54,2017,41.129:-81.540,-81.540:41.130,17068
41.317,-80.76100000000001,41.33,-80.78,2017,41.317:-80.761,-80.761:41.330,12370
40.441,-81.48899999999999,40.45,-81.5,2017,40.441:-81.489,-81.489:40.450,14622
40.306999999999995,-83.361,40.29,-83.38,2017,40.307:-83.361,-83.361:40.290,18005
40.838,-84.572,40.85,-84.58,2017,40.838:-84.572,-84.572:40.850,11574
39.211999999999996,-82.512,39.21,-82.5,2017,39.212:-82.512,-82.512:39.210,14623
39.422,-84.171,39.41,-84.18,2017,39.422:-84.171,-84.171:39.410,11575
39.431,-81.445,39.45,-81.46,2017,39.431:-81.445,-81.445:39.450,14624
40.829,-81.889,40.81,-81.9,2017,40.829:-81.889,-81.889:40.810,12371
41.566,-84.574,41.57,-84.58,2017,41.566:-84.574,-84.574:41.570,11576
41.393,-83.649,41.41,-83.66,2017,41.393:-83.649,-83.649:41.410,11577
40.84,-83.314,40.85,-83.3,2017,40.840:-83.314,-83.314:40.850,11579
35.9,-94.639,35.89,-94.62,2017,35.900:-94.639,-94.639:35.890,14988
36.731,-98.325,36.73,-98.34,2017,36.731:-98.325,-98.325:36.730,13096
34.419000000000004,-96.04,34.41,-96.06,2017,34.419:-96.040,-96.040:34.410,14989
36.751,-100.478,36.77,-100.46,2017,36.751:-100.478,-100.478:36.770,13098
35.269,-99.68,35.25,-99.7,2017,35.269:-99.680,-99.680:35.250,13099
35.858000000000004,-98.42200000000001,35.85,-98.42,2017,35.858:-98.422,-98.422:35.850,13100
33.922,-96.193,33.93,-96.18,2017,33.922:-96.193,-96.193:33.930,13101
